cgmDatenum_ 1,cgmDatenum_ 2,cgmDatenum_ 3,cgmDatenum_ 4,cgmDatenum_ 5,cgmDatenum_ 6,cgmDatenum_ 7,cgmDatenum_ 8,cgmDatenum_ 9,cgmDatenum_10,cgmDatenum_11,cgmDatenum_12,cgmDatenum_13,cgmDatenum_14,cgmDatenum_15,cgmDatenum_16,cgmDatenum_17,cgmDatenum_18,cgmDatenum_19,cgmDatenum_20,cgmDatenum_21,cgmDatenum_22,cgmDatenum_23,cgmDatenum_24,cgmDatenum_25,cgmDatenum_26,cgmDatenum_27,cgmDatenum_28,cgmDatenum_29,cgmDatenum_30,cgmDatenum_31
737055.677951389,737055.674479167,737055.671006945,737055.667534722,737055.6640625,737055.660590278,737055.657118056,737055.653645833,737055.650173611,737055.646701389,737055.643229167,737055.639756945,737055.636284722,737055.6328125,737055.629340278,737055.625868056,737055.622395833,737055.618923611,737055.615451389,737055.611979167,737055.608506945,737055.605034722,737055.6015625,737055.598090278,737055.594618056,737055.591145833,737055.587673611,737055.584201389,737055.580729167,737055.577256945,
737053.643101852,737053.63962963,737053.636157407,737053.632685185,737053.629212963,737053.625740741,737053.622268519,737053.618773148,737053.615300926,737053.611828704,737053.608356482,737053.604884259,737053.601412037,737053.597939815,737053.594467593,737053.59099537,737053.587523148,737053.584050926,737053.580578704,737053.577106482,737053.573634259,737053.570162037,737053.566689815,737053.563217593,737053.55974537,737053.556273148,737053.552800926,737053.549328704,737053.545856482,737053.542384259,737053.538912037
737048.65556713,737048.652094907,737048.648622685,737048.645150463,737048.641678241,737048.638206018,737048.634733796,737048.631261574,737048.627789352,737048.62431713,737048.620844907,737048.617372685,737048.613900463,737048.610428241,737048.606956018,737048.603472222,737048.6,737048.596527778,737048.593055556,737048.589583333,737048.586111111,737048.582638889,737048.579166667,737048.575694444,737048.572222222,737048.56875,737048.565277778,737048.561805556,737048.558333333,737048.554861111,
737046.63806713,737046.634594907,737046.631122685,737046.627650463,737046.624178241,737046.620706019,737046.617233796,737046.613761574,737046.610289352,737046.60681713,737046.603344907,737046.599872685,737046.596400463,737046.592928241,737046.589456019,737046.585972222,737046.5825,737046.579027778,737046.575555556,737046.572083333,737046.568611111,737046.565138889,737046.561666667,737046.558194444,737046.554722222,737046.55125,737046.547777778,737046.544305556,737046.540833333,737046.537361111,737046.533888889
737032.526377315,737032.522905093,737032.51943287,737032.515960648,737032.512488426,737032.509016204,737032.505543981,737032.502071759,737032.498599537,737032.495127315,737032.491655093,737032.48818287,737032.484710648,737032.481238426,737032.477766204,737032.474293981,737032.470821759,737032.467349537,737032.463877315,737032.460405093,737032.45693287,737032.453460648,737032.449988426,737032.446516204,737032.443043981,737032.439571759,737032.436099537,737032.432627315,737032.429155093,737032.42568287,
737025.636041667,737025.632569444,737025.629097222,737025.625625,737025.622152778,737025.618680556,737025.615208333,737025.611736111,737025.608263889,737025.604791667,737025.601319444,737025.597847222,737025.594375,737025.590902778,737025.587430556,737025.583958333,737025.580486111,737025.577013889,737025.573541667,737025.570069444,737025.566597222,737025.563125,737025.559652778,737025.556180556,737025.552708333,737025.549236111,737025.545763889,737025.542291667,737025.538819444,737025.535347222,
737021.59193287,737021.588460648,737021.584988426,737021.581516204,737021.578043981,737021.574571759,737021.571099537,737021.567627315,737021.564155093,737021.56068287,737021.557210648,737021.553738426,737021.550266204,737021.546793981,737021.543321759,737021.539849537,737021.536377315,737021.532905093,737021.52943287,737021.525960648,737021.522488426,737021.519016204,737021.515543981,737021.512071759,737021.508599537,737021.505127315,737021.501655093,737021.49818287,737021.494710648,737021.491238426,
737020.630092593,737020.62662037,737020.623148148,737020.619675926,737020.616203704,737020.612731481,737020.609259259,737020.605787037,737020.602314815,737020.598842593,737020.59537037,737020.591875,737020.588402778,737020.584930556,737020.581458333,737020.577986111,737020.574513889,737020.571041667,737020.567569444,737020.564097222,737020.560625,737020.557152778,737020.553680556,737020.550208333,737020.546736111,737020.543263889,737020.539791667,737020.536319444,737020.532847222,737020.529375,
737008.669826389,737008.666354167,737008.662881944,737008.659409722,737008.6559375,737008.652465278,737008.648993056,737008.645520833,737008.642048611,737008.638576389,737008.635104167,737008.631631944,737008.628159722,737008.6246875,737008.621215278,737008.617743056,737008.614270833,737008.610798611,737008.607326389,737008.603854167,737008.600381944,737008.596909722,737008.5934375,737008.589965278,737008.586493056,737008.583020833,737008.579548611,737008.576076389,737008.572604167,737008.569131944,737008.565659722
737006.683599537,737006.680104167,737006.676631944,737006.673159722,737006.6696875,737006.666215278,737006.662743056,737006.659270833,737006.655798611,737006.652326389,737006.648854167,737006.645381944,737006.641909722,737006.6384375,737006.634965278,737006.631493056,737006.628020833,737006.624548611,737006.621076389,737006.617604167,737006.614131944,737006.610659722,737006.6071875,737006.603715278,737006.600243056,737006.596770833,737006.593298611,737006.589826389,737006.586354167,737006.582881944,
737000.5965625,737000.593090278,737000.589618056,737000.586145833,737000.582673611,737000.579201389,737000.575729167,737000.572256944,737000.568784722,737000.5653125,737000.561840278,737000.558368056,737000.554895833,737000.551423611,737000.547951389,737000.544479167,737000.541006944,737000.537534722,737000.5340625,737000.530590278,737000.527118056,737000.523645833,737000.520173611,737000.516701389,737000.513229167,737000.509756944,737000.506284722,737000.5028125,737000.499340278,737000.495856481,
736996.617118056,736996.613645833,736996.610173611,736996.606701389,736996.603229167,736996.599756944,736996.596284722,736996.5928125,736996.589340278,736996.585868056,736996.582395833,736996.578923611,736996.575451389,736996.571979167,736996.568506944,736996.565034722,736996.5615625,736996.558090278,736996.554618056,736996.551145833,736996.547673611,736996.544201389,736996.540729167,736996.537256944,736996.533784722,736996.5303125,736996.526840278,736996.523368056,736996.519895833,736996.516423611,
736992.640844907,736992.637372685,736992.633900463,736992.630428241,736992.626956019,736992.623483796,736992.620011574,736992.616539352,736992.61306713,736992.609594907,736992.606122685,736992.602650463,736992.599178241,736992.595706019,736992.592233796,736992.588761574,736992.585289352,736992.58181713,736992.578344907,736992.574872685,736992.571400463,736992.567928241,736992.564456019,736992.560983796,736992.557511574,736992.554039352,736992.55056713,736992.547094907,736992.543622685,736992.540150463,
736985.646550926,736985.643078704,736985.639606482,736985.636134259,736985.632662037,736985.629189815,736985.625717593,736985.62224537,736985.618773148,736985.615300926,736985.611828704,736985.608356482,736985.604884259,736985.601412037,736985.597939815,736985.594467593,736985.59099537,736985.587523148,736985.584050926,736985.580578704,736985.577106482,736985.573622685,736985.570150463,736985.566678241,736985.563206019,736985.559733796,736985.556261574,736985.552789352,736985.54931713,736985.545844907,
736984.670787037,736984.667314815,736984.663842593,736984.66037037,736984.656898148,736984.653425926,736984.649953704,736984.646481482,736984.643009259,736984.639537037,736984.636064815,736984.632592593,736984.62912037,736984.625648148,736984.622175926,736984.618703704,736984.615231482,736984.611759259,736984.608287037,736984.604814815,736984.601342593,736984.59787037,736984.594398148,736984.590925926,736984.587453704,736984.583981482,736984.580509259,736984.577037037,736984.573564815,736984.570092593,
736971.7121875,736971.708715278,736971.705243056,736971.701770833,736971.698298611,736971.694826389,736971.691354167,736971.687881944,736971.684409722,736971.6809375,736971.677465278,736971.673993056,736971.670520833,736971.667048611,736971.663576389,736971.660104167,736971.656631944,736971.653159722,736971.6496875,736971.646215278,736971.642743056,736971.639270833,736971.635798611,736971.632326389,736971.628854167,736971.625381944,736971.621898148,736971.618425926,736971.614953704,736971.611481481,
736969.607881944,736969.604409722,736969.600914352,736969.59744213,736969.593969907,736969.590497685,736969.587025463,736969.583553241,736969.580081019,736969.576608796,736969.573136574,736969.569664352,736969.56619213,736969.562719907,736969.559247685,736969.555775463,736969.552303241,736969.548831019,736969.545358796,736969.541886574,736969.538414352,736969.53494213,736969.531469907,736969.527997685,736969.524525463,736969.521053241,736969.517581019,736969.514108796,736969.510636574,736969.507164352,
736968.615752315,736968.612280093,736968.60880787,736968.605335648,736968.601863426,736968.598391204,736968.594918981,736968.591446759,736968.587974537,736968.584502315,736968.581030093,736968.57755787,736968.574085648,736968.570613426,736968.567141204,736968.563668981,736968.560196759,736968.556724537,736968.553252315,736968.549780093,736968.54630787,736968.542835648,736968.539363426,736968.535891204,736968.532418981,736968.528946759,736968.525451389,736968.521979167,736968.518506944,736968.515034722,
736963.666585648,736963.663113426,736963.659641204,736963.656168981,736963.652696759,736963.649224537,736963.645752315,736963.642280093,736963.63880787,736963.635335648,736963.631863426,736963.628391204,736963.624918981,736963.621446759,736963.617974537,736963.614502315,736963.611030093,736963.60755787,736963.604085648,736963.600613426,736963.597141204,736963.593668981,736963.590196759,736963.586724537,736963.583252315,736963.579780093,736963.57630787,736963.572835648,736963.569363426,736963.565891204,
736962.562349537,736962.558877315,736962.555405093,736962.55193287,736962.548460648,736962.544988426,736962.541516204,736962.538043982,736962.534571759,736962.531099537,736962.527627315,736962.524155093,736962.52068287,736962.517210648,736962.513738426,736962.510266204,736962.506793982,736962.503321759,736962.499849537,736962.496377315,736962.492905093,736962.48943287,736962.485960648,736962.482488426,736962.479016204,736962.475543982,736962.472071759,736962.468599537,736962.465127315,736962.461655093,736962.45818287
736960.694166667,736960.690694444,736960.687222222,736960.68375,736960.680277778,736960.676805556,736960.673333333,736960.669861111,736960.666388889,736960.662916667,736960.659444444,736960.655960648,736960.652488426,736960.649016204,736960.645543981,736960.642071759,736960.638599537,736960.635127315,736960.631655093,736960.62818287,736960.624710648,736960.621238426,736960.617766204,736960.614293981,736960.610821759,736960.607349537,736960.603877315,736960.600405093,736960.59693287,736960.593460648,
736959.624641204,736959.621168982,736959.617696759,736959.614224537,736959.610752315,736959.607280093,736959.60380787,736959.600335648,736959.596863426,736959.593391204,736959.589918982,736959.586446759,736959.582974537,736959.579502315,736959.576030093,736959.57255787,736959.569085648,736959.565613426,736959.562141204,736959.558668982,736959.555196759,736959.551724537,736959.548252315,736959.544780093,736959.54130787,736959.537835648,736959.534363426,736959.530891204,736959.527418982,736959.523946759,736959.520474537
736958.589849537,736958.586377315,736958.582905093,736958.57943287,736958.575960648,736958.572488426,736958.569016204,736958.565543982,736958.562071759,736958.558599537,736958.555127315,736958.551655093,736958.54818287,736958.544710648,736958.541238426,736958.537766204,736958.534293982,736958.530821759,736958.527349537,736958.523877315,736958.520405093,736958.51693287,736958.513460648,736958.509988426,736958.506516204,736958.503043982,736958.499571759,736958.496099537,736958.492627315,736958.489155093,
736953.665902778,736953.662430556,736953.658958333,736953.655486111,736953.652013889,736953.648541667,736953.645069444,736953.641597222,736953.638125,736953.634652778,736953.631180556,736953.627708333,736953.624236111,736953.620763889,736953.617291667,736953.613819444,736953.610347222,736953.606875,736953.603402778,736953.599930556,736953.596458333,736953.592986111,736953.589513889,736953.586041667,736953.582569444,736953.579097222,736953.575625,736953.572152778,736953.568680556,736953.565208333,
736939.564548611,736939.561076389,736939.557604167,736939.554131944,736939.550659722,736939.5471875,736939.543715278,736939.540243056,736939.536770833,736939.533298611,736939.529826389,736939.526354167,736939.522881944,736939.519409722,736939.5159375,736939.512465278,736939.508993056,736939.505520833,736939.502048611,736939.498576389,736939.495104167,736939.491631944,736939.488159722,736939.4846875,736939.481215278,736939.477743056,736939.474270833,736939.470798611,736939.467326389,736939.463854167,
736931.715648148,736931.712175926,736931.708703704,736931.705231481,736931.701759259,736931.698287037,736931.694814815,736931.691342593,736931.68787037,736931.684398148,736931.680925926,736931.677453704,736931.673981481,736931.670509259,736931.667037037,736931.663564815,736931.660092593,736931.656585648,736931.653113426,736931.649641204,736931.646168981,736931.642696759,736931.639224537,736931.635752315,736931.632280093,736931.62880787,736931.625335648,736931.621863426,736931.618391204,736931.614918981,
736925.692731482,736925.689259259,736925.685787037,736925.682314815,736925.678842593,736925.67537037,736925.671898148,736925.668425926,736925.664953704,736925.661481482,736925.658009259,736925.654537037,736925.651064815,736925.647592593,736925.64412037,736925.640648148,736925.637175926,736925.633703704,736925.630231482,736925.626759259,736925.623287037,736925.619814815,736925.616342593,736925.61287037,736925.609398148,736925.605925926,736925.602453704,736925.598981482,736925.595509259,736925.592037037,736925.588564815
736921.603310185,736921.599837963,736921.596365741,736921.592893519,736921.589421296,736921.585949074,736921.582476852,736921.57900463,736921.575532407,736921.572060185,736921.568587963,736921.565115741,736921.561643519,736921.558171296,736921.554699074,736921.551226852,736921.54775463,736921.544282407,736921.540810185,736921.537337963,736921.533865741,736921.530393519,736921.526921296,736921.523449074,736921.519976852,736921.51650463,736921.513032407,736921.509560185,736921.506087963,736921.502615741,736921.499143519
