cgmDatenum_ 1,cgmDatenum_ 2,cgmDatenum_ 3,cgmDatenum_ 4,cgmDatenum_ 5,cgmDatenum_ 6,cgmDatenum_ 7,cgmDatenum_ 8,cgmDatenum_ 9,cgmDatenum_10,cgmDatenum_11,cgmDatenum_12,cgmDatenum_13,cgmDatenum_14,cgmDatenum_15,cgmDatenum_16,cgmDatenum_17,cgmDatenum_18,cgmDatenum_19,cgmDatenum_20,cgmDatenum_21,cgmDatenum_22,cgmDatenum_23,cgmDatenum_24,cgmDatenum_25,cgmDatenum_26,cgmDatenum_27,cgmDatenum_28,cgmDatenum_29,cgmDatenum_30,cgmDatenum_31,cgmDatenum_32,cgmDatenum_33,cgmDatenum_34,cgmDatenum_35,cgmDatenum_36,cgmDatenum_37,cgmDatenum_38,cgmDatenum_39,cgmDatenum_40,cgmDatenum_41,cgmDatenum_42
737193.622546296,737193.619074074,737193.615601852,737193.61212963,737193.608657407,737193.605185185,737193.601712963,737193.598240741,737193.594768518,737193.591296296,737193.587824074,737193.584351852,737193.58087963,737193.577407407,737193.573935185,737193.570462963,737193.566990741,737193.563518518,737193.560046296,737193.556574074,737193.553101852,737193.54962963,737193.546157407,737193.542685185,737193.539212963,737193.535740741,737193.532268518,737193.528796296,737193.525324074,737193.521851852,,,,,,,,,,,,
737191.584236111,737191.580763889,737191.577291667,737191.573819444,737191.570347222,737191.566875,737191.563402778,737191.559930556,737191.556458333,737191.552986111,737191.549513889,737191.546041667,737191.542569444,737191.539097222,737191.535625,737191.532152778,737191.528680556,737191.525208333,737191.521736111,737191.518263889,737191.514791667,737191.511319444,737191.507847222,737191.504375,737191.500902778,737191.497430556,737191.493958333,737191.490486111,737191.487013889,737191.483541667,,,,,,,,,,,,
737189.570208333,737189.566736111,737189.563263889,737189.559791667,737189.556319444,737189.552847222,737189.549375,737189.545902778,737189.542430556,737189.538958333,737189.535486111,737189.532013889,737189.528541667,737189.525069444,737189.521597222,737189.518125,737189.514652778,737189.511180556,737189.507708333,737189.504236111,737189.500763889,737189.497291667,737189.493819444,,,,,,,,,,,,,,,,,,,
737187.627118056,737187.623645833,737187.620173611,737187.616701389,737187.613229167,737187.609756944,737187.606284722,737187.6028125,737187.599340278,737187.595868056,737187.592395833,737187.588923611,737187.585451389,737187.581979167,737187.578506944,737187.575034722,737187.5715625,737187.568090278,737187.564618056,737187.561145833,737187.557673611,737187.554201389,737187.550729167,737187.547256944,737187.543784722,737187.5403125,737187.536840278,737187.533368056,737187.529895833,737187.526423611,,,,,,,,,,,,
737151.630462963,737151.626990741,737151.623518519,737151.620046296,737151.616574074,737151.613101852,737151.60962963,737151.606157407,737151.602685185,737151.599212963,737151.595740741,737151.592268519,737151.588796296,737151.585324074,737151.581851852,737151.57837963,737151.574907407,737151.571435185,737151.567962963,737151.564490741,737151.561018519,737151.557546296,737151.554074074,737151.550601852,737151.54712963,737151.543657407,737151.540185185,737151.536712963,737151.533240741,737151.529768519,,,,,,,,,,,,
737150.592199074,737150.588726852,737150.58525463,737150.581782407,737150.578310185,737150.574837963,737150.571365741,737150.567893518,737150.564421296,737150.560949074,737150.557476852,737150.55400463,737150.550532407,737150.547060185,737150.543587963,737150.540115741,737150.536643518,737150.533171296,737150.529699074,737150.526226852,737150.52275463,737150.519282407,737150.515810185,737150.512337963,737150.508865741,737150.505393518,737150.501921296,737150.498449074,737150.494976852,737150.49150463,737150.488032407,,,,,,,,,,,
737148.560833333,737148.557361111,737148.553888889,737148.550416667,737148.546944444,737148.543472222,737148.54,737148.536527778,737148.533055556,737148.529583333,737148.526111111,737148.522638889,737148.519166667,737148.515694444,737148.512222222,737148.50875,737148.505277778,737148.501805556,737148.498333333,737148.494861111,737148.491388889,737148.487916667,737148.484444444,737148.480972222,737148.4775,737148.474027778,737148.470555556,737148.467083333,737148.463611111,737148.460138889,,,,,,,,,,,,
737145.580219907,737145.576747685,737145.573275463,737145.569803241,737145.566331018,737145.562858796,737145.559386574,737145.555914352,737145.55244213,737145.548969907,737145.545497685,737145.542025463,737145.538553241,737145.535081018,737145.531608796,737145.528136574,737145.524664352,737145.52119213,737145.517719907,737145.514247685,737145.510775463,737145.507303241,737145.503831018,737145.500358796,737145.496886574,737145.493414352,737145.48994213,737145.486469907,737145.482997685,737145.479525463,,,,,,,,,,,,
737143.548854167,737143.545381944,737143.541909722,737143.5384375,737143.534965278,737143.531493056,737143.528020833,737143.524548611,737143.521076389,737143.517604167,737143.514131944,737143.510659722,737143.5071875,737143.503715278,737143.500243056,737143.496770833,737143.493298611,737143.489826389,737143.486354167,737143.482881944,737143.479409722,737143.4759375,737143.472465278,737143.468993056,737143.465520833,737143.462048611,737143.458576389,737143.455104167,737143.451631944,737143.489814815,737143.486342593,737143.48287037,737143.479398148,737143.475925926,737143.472453704,737143.468981482,737143.465509259,737143.462037037,737143.458564815,737143.455092593,737143.45162037,737143.448148148
737141.573032407,737141.569560185,737141.566087963,737141.562615741,737141.559143519,737141.555671296,737141.552199074,737141.548726852,737141.54525463,737141.541782407,737141.538310185,737141.534837963,737141.531365741,737141.527893519,737141.524421296,737141.520949074,737141.517476852,737141.51400463,737141.510532407,737141.507060185,737141.503587963,737141.500115741,737141.496643519,737141.493171296,737141.489699074,737141.486226852,737141.48275463,737141.479282407,737141.475810185,737141.472337963,,,,,,,,,,,,
737140.538240741,737140.534768519,737140.531296296,737140.527824074,737140.524351852,737140.52087963,737140.517407407,737140.513935185,737140.510462963,737140.506990741,737140.503518519,737140.500046296,737140.496574074,737140.493101852,737140.48962963,737140.486157407,737140.482685185,737140.479212963,737140.475740741,737140.472268519,737140.468796296,737140.465324074,737140.461851852,737140.45837963,737140.454907407,737140.451435185,737140.447962963,737140.444490741,737140.441018519,737140.437546296,,,,,,,,,,,,
737138.603587963,737138.600115741,737138.596643519,737138.593171296,737138.589699074,737138.586226852,737138.58275463,737138.579282407,737138.575810185,737138.572337963,737138.568865741,737138.565393519,737138.561921296,737138.558449074,737138.554976852,737138.55150463,737138.548032407,737138.544560185,737138.541087963,737138.537615741,737138.534143519,737138.530671296,737138.527199074,737138.523726852,737138.52025463,737138.516782407,737138.513310185,737138.509826389,737138.506354167,737138.502881944,,,,,,,,,,,,
737134.61375,737134.610277778,737134.606805556,737134.603333333,737134.599861111,737134.596388889,737134.592916667,737134.589444444,737134.585972222,737134.5825,737134.579027778,737134.575555556,737134.572083333,737134.568611111,737134.565138889,737134.561666667,737134.558194444,737134.554722222,737134.55125,737134.547777778,737134.544305556,737134.540833333,737134.537361111,737134.533888889,737134.530416667,737134.526944444,737134.523472222,737134.52,737134.516527778,737134.513055556,,,,,,,,,,,,
737125.610138889,737125.606666667,737125.603194444,737125.599722222,737125.59625,737125.592777778,737125.589305556,737125.585833333,737125.582361111,737125.578865741,737125.575393519,737125.571921296,737125.568449074,737125.564976852,737125.56150463,737125.558032407,737125.554560185,737125.551087963,737125.547615741,737125.544143519,737125.540671296,737125.537199074,737125.533726852,737125.53025463,737125.526782407,737125.523310185,737125.519837963,737125.516365741,737125.512893519,737125.509421296,737125.505949074,,,,,,,,,,,
737120.566805556,737120.563333333,737120.559861111,737120.556388889,737120.552916667,737120.549444444,737120.545972222,737120.5425,737120.539027778,737120.535555556,737120.532083333,737120.528611111,737120.525138889,737120.521666667,737120.518194444,737120.514722222,737120.51125,737120.507777778,737120.504305556,737120.500833333,737120.497361111,737120.493888889,737120.490416667,737120.486944444,737120.483472222,737120.48,737120.476527778,737120.473055556,737120.469583333,737120.466111111,,,,,,,,,,,,
737115.573553241,737115.570081018,737115.566608796,737115.563136574,737115.559664352,737115.55619213,737115.552719907,737115.549247685,737115.545775463,737115.542303241,737115.538831018,737115.535358796,737115.531886574,737115.528414352,737115.52494213,737115.521469907,737115.517997685,737115.514525463,737115.511053241,737115.507581018,737115.504108796,737115.500636574,737115.497164352,737115.49369213,737115.490219907,737115.486747685,737115.483252315,737115.479780093,737115.47630787,737115.472835648,,,,,,,,,,,,
737113.580347222,737113.576875,737113.573402778,737113.569930556,737113.566458333,737113.562986111,737113.559513889,737113.556041667,737113.552569444,737113.549097222,737113.545625,737113.542152778,737113.538680556,737113.535208333,737113.531736111,737113.528263889,737113.524791667,737113.521319444,737113.517847222,737113.514375,737113.510902778,737113.507430556,737113.503958333,737113.500486111,737113.497013889,737113.493541667,737113.490069444,737113.486597222,737113.483125,737113.479652778,,,,,,,,,,,,
737111.559421296,737111.555949074,737111.552476852,737111.54900463,737111.545532407,737111.542060185,737111.538587963,737111.535115741,737111.531643518,737111.528171296,737111.524699074,737111.521226852,737111.51775463,737111.514282407,737111.510810185,737111.507337963,737111.503865741,737111.500393518,737111.496921296,737111.493449074,737111.489976852,737111.48650463,737111.483032407,737111.479560185,737111.476087963,737111.472615741,737111.469143518,737111.465671296,737111.462199074,737111.458726852,,,,,,,,,,,,
737107.644837963,737107.641365741,737107.637893519,737107.634421296,737107.630949074,737107.627476852,737107.62400463,737107.620532407,737107.617060185,737107.613587963,737107.610115741,737107.606643519,737107.603171296,737107.599699074,737107.596226852,737107.59275463,737107.589282407,737107.585810185,737107.582337963,737107.578865741,737107.575393519,737107.571921296,737107.568449074,737107.564976852,737107.56150463,737107.558032407,737107.554560185,737107.551087963,737107.547615741,737107.544143519,737107.540671296,,,,,,,,,,,
737105.530115741,737105.526643518,737105.523171296,737105.519699074,737105.516226852,737105.51275463,737105.509282407,737105.505810185,737105.502337963,737105.498865741,737105.495393518,737105.491921296,737105.488449074,737105.484976852,737105.48150463,737105.478032407,737105.474560185,737105.471087963,737105.467615741,737105.464143518,737105.460671296,737105.457199074,737105.453726852,737105.45025463,737105.446782407,737105.443310185,737105.439837963,737105.436365741,737105.432893518,737105.429421296,,,,,,,,,,,,
737101.6090625,737101.605590278,737101.602118056,737101.598622685,737101.595150463,737101.591678241,737101.588206019,737101.584733796,737101.581261574,737101.577789352,737101.57431713,737101.570844907,737101.567372685,737101.563900463,737101.560428241,737101.556956019,737101.553483796,737101.550011574,737101.546539352,737101.54306713,737101.539594907,737101.536122685,737101.532650463,737101.529178241,737101.525706019,737101.522233796,737101.518761574,737101.515289352,737101.51181713,737101.508344907,,,,,,,,,,,,
737100.581203704,737100.577731482,737100.574259259,737100.570787037,737100.567314815,737100.563842593,737100.56037037,737100.556898148,737100.553425926,737100.549953704,737100.546481482,737100.543009259,737100.539537037,737100.536064815,737100.532592593,737100.52912037,737100.525648148,737100.522175926,737100.518703704,737100.515231482,737100.511759259,737100.508287037,737100.504814815,737100.501342593,737100.49787037,737100.494398148,737100.490925926,737100.487453704,737100.483981482,737100.480509259,,,,,,,,,,,,
737098.570648148,737098.567175926,737098.563703704,737098.560231481,737098.556759259,737098.553287037,737098.549814815,737098.546342593,737098.54287037,737098.539398148,737098.535925926,737098.532453704,737098.528981481,737098.525509259,737098.522037037,737098.518564815,737098.515092593,737098.51162037,737098.508148148,737098.504675926,737098.501203704,737098.497731481,737098.494259259,737098.490787037,737098.487314815,737098.483842593,737098.48037037,737098.476898148,737098.473425926,737098.469953704,,,,,,,,,,,,
737096.636516204,737096.633043982,737096.629571759,737096.626099537,737096.622627315,737096.619155093,737096.61568287,737096.612210648,737096.608738426,737096.605266204,737096.601793982,737096.598321759,737096.594849537,737096.591377315,737096.587905093,737096.58443287,737096.580960648,737096.577488426,737096.574016204,737096.570543982,737096.567071759,737096.563599537,737096.560104167,737096.556631944,737096.553159722,737096.5496875,737096.546215278,737096.542743056,737096.539270833,737096.535798611,,,,,,,,,,,,
737038.583310185,737038.579837963,737038.576365741,737038.572893518,737038.569421296,737038.565949074,737038.562476852,737038.55900463,737038.555532407,737038.552060185,737038.548587963,737038.545115741,737038.541643518,737038.538171296,737038.534699074,737038.531226852,737038.52775463,737038.524282407,737038.520810185,737038.517337963,737038.513865741,737038.510393518,737038.506921296,737038.503449074,737038.499976852,737038.49650463,737038.493032407,737038.489560185,737038.486087963,737038.482615741,,,,,,,,,,,,
737035.562291667,737035.558819445,737035.555347222,737035.551875,737035.548402778,737035.544930556,737035.541458333,737035.537986111,737035.534513889,737035.531041667,737035.527569445,737035.524097222,737035.520625,737035.517152778,737035.513680556,737035.510208333,737035.506736111,737035.503263889,737035.499791667,737035.496319445,737035.492847222,737035.489375,737035.485902778,737035.482430556,737035.478958333,737035.475486111,737035.472013889,737035.468541667,737035.465069445,737035.461597222,,,,,,,,,,,,
737034.544849537,737034.541377315,737034.537905093,737034.53443287,737034.530960648,737034.527488426,737034.524016204,737034.520543981,737034.517071759,737034.513599537,737034.510127315,737034.506655093,737034.50318287,737034.499710648,737034.496238426,737034.492766204,737034.489293981,737034.485821759,737034.482349537,737034.478877315,737034.475405093,737034.47193287,737034.468460648,737034.464988426,737034.461516204,737034.458043981,737034.454571759,737034.451099537,737034.447627315,737034.444155093,,,,,,,,,,,,
737033.565636574,737033.562164352,737033.55869213,737033.555219907,737033.551747685,737033.548275463,737033.544803241,737033.541331019,737033.537858796,737033.534386574,737033.530914352,737033.52744213,737033.523969907,737033.520497685,737033.517025463,737033.513553241,737033.510081019,737033.506608796,737033.503136574,737033.499664352,737033.49619213,737033.492719907,737033.489247685,737033.485775463,737033.482303241,737033.478831019,737033.475358796,737033.471886574,737033.468414352,737033.46494213,,,,,,,,,,,,
737032.593333333,737032.589861111,737032.586388889,737032.582916667,737032.579444444,737032.575972222,737032.5725,737032.569027778,737032.565555556,737032.562083333,737032.558611111,737032.555138889,737032.551666667,737032.548194444,737032.544722222,737032.54125,737032.537777778,737032.534305556,737032.530833333,737032.527361111,737032.523888889,737032.520416667,737032.516944444,737032.513472222,737032.51,737032.506527778,737032.503055556,737032.499583333,737032.496111111,737032.492638889,,,,,,,,,,,,
737031.617199074,737031.613726852,737031.61025463,737031.606782407,737031.603310185,737031.599837963,737031.596365741,737031.592893519,737031.589421296,737031.585949074,737031.582476852,737031.57900463,737031.575532407,737031.572060185,737031.568587963,737031.565115741,737031.561643519,737031.558171296,737031.554699074,737031.551226852,737031.54775463,737031.544282407,737031.540810185,737031.537337963,737031.533865741,737031.530393519,737031.526921296,737031.523449074,737031.519976852,737031.51650463,,,,,,,,,,,,
737028.582280093,737028.57880787,737028.575335648,737028.571863426,737028.568391204,737028.564918982,737028.561446759,737028.557974537,737028.554502315,737028.551030093,737028.54755787,737028.544085648,737028.540613426,737028.537141204,737028.533668982,737028.530196759,737028.526724537,737028.523252315,737028.519780093,737028.51630787,737028.512835648,737028.509363426,737028.505891204,737028.502418982,737028.498946759,737028.495474537,737028.492002315,737028.488530093,737028.48505787,737028.481585648,,,,,,,,,,,,
737027.564861111,737027.561388889,737027.557916667,737027.554444444,737027.550972222,737027.5475,737027.544027778,737027.540555556,737027.537083333,737027.533611111,737027.530138889,737027.526666667,737027.523194444,737027.519722222,737027.51625,737027.512777778,737027.509305556,737027.505833333,737027.502361111,737027.498888889,737027.495416667,737027.491944444,737027.488472222,737027.485,737027.481527778,737027.478055556,737027.474583333,737027.471111111,737027.467638889,737027.464166667,,,,,,,,,,,,
737020.590810185,737020.587337963,737020.583865741,737020.580393519,737020.576921296,737020.5734375,737020.569965278,737020.566493056,737020.563020833,737020.559548611,737020.556076389,737020.552604167,737020.549131944,737020.545659722,737020.5421875,737020.538715278,737020.535243056,737020.531770833,737020.528298611,737020.524826389,737020.521354167,737020.517881944,737020.514409722,737020.5109375,737020.507465278,737020.503993056,737020.500520833,737020.497048611,737020.493576389,737020.490104167,,,,,,,,,,,,
737019.611585648,737019.608113426,737019.604641204,737019.601168982,737019.597696759,737019.594224537,737019.590752315,737019.587280093,737019.58380787,737019.580335648,737019.576863426,737019.573391204,737019.569918982,737019.566423611,737019.562951389,737019.559479167,737019.556006944,737019.552534722,737019.5490625,737019.545590278,737019.542118056,737019.538645833,737019.535173611,737019.531701389,737019.528229167,737019.524756944,737019.521284722,737019.5178125,737019.514340278,737019.510868056,,,,,,,,,,,,
737018.628877315,737018.625405093,737018.62193287,737018.618460648,737018.614988426,737018.611516204,737018.608043981,737018.604571759,737018.601099537,737018.597627315,737018.594155093,737018.59068287,737018.587210648,737018.583738426,737018.580266204,737018.576793981,737018.573321759,737018.569849537,737018.566377315,737018.562893518,737018.559421296,737018.555949074,737018.552476852,737018.54900463,737018.545532407,737018.542060185,737018.538587963,737018.535115741,737018.531643518,737018.528171296,737018.524699074,,,,,,,,,,,
737016.579155093,737016.57568287,737016.572210648,737016.568738426,737016.565266204,737016.561793981,737016.558321759,737016.554849537,737016.551354167,737016.547881944,737016.544409722,737016.5409375,737016.537465278,737016.533993056,737016.530520833,737016.527048611,737016.523576389,737016.520104167,737016.516631944,737016.513159722,737016.5096875,737016.506215278,737016.502743056,737016.499270833,737016.495798611,737016.492326389,737016.488854167,737016.485381944,737016.481909722,737016.4784375,,,,,,,,,,,,
737014.572083333,737014.568611111,737014.565138889,737014.561666667,737014.558194444,737014.554722222,737014.55125,737014.547777778,737014.544305556,737014.540833333,737014.537361111,737014.533888889,737014.530416667,737014.526944444,737014.523472222,737014.52,737014.516527778,737014.513055556,737014.509583333,737014.506111111,737014.502638889,737014.499166667,737014.495694444,737014.492199074,737014.488726852,737014.48525463,737014.481782407,737014.478310185,737014.474837963,737014.471365741,,,,,,,,,,,,
737007.582048611,737007.578576389,737007.575104167,737007.571631944,737007.568159722,737007.5646875,737007.561215278,737007.557743056,737007.554270833,737007.550798611,737007.547326389,737007.543854167,737007.540381944,737007.536909722,737007.5334375,737007.529965278,737007.526493056,737007.523020833,737007.519548611,737007.516076389,737007.512604167,737007.509131944,737007.505659722,737007.5021875,737007.498715278,737007.495243056,737007.491770833,737007.488298611,737007.484826389,737007.481354167,,,,,,,,,,,,
737005.578449074,737005.574976852,737005.57150463,737005.568032407,737005.564560185,737005.561087963,737005.557615741,737005.554143519,737005.550671296,737005.547199074,737005.543726852,737005.54025463,737005.536782407,737005.533310185,737005.529837963,737005.526365741,737005.522893519,737005.519421296,737005.515949074,737005.512476852,737005.50900463,737005.505532407,737005.502060185,737005.498587963,737005.495115741,737005.491643519,737005.488171296,737005.484699074,737005.481226852,737005.47775463,737005.474282407,,,,,,,,,,,
737004.679085648,737004.675613426,737004.672141204,737004.668668982,737004.665196759,737004.661724537,737004.658252315,737004.654780093,737004.65130787,737004.647835648,737004.644363426,737004.640891204,737004.637418982,737004.633946759,737004.630474537,737004.627002315,737004.623530093,737004.62005787,737004.616585648,737004.613113426,737004.609641204,737004.606168982,737004.602696759,737004.599224537,737004.595752315,737004.592280093,737004.58880787,737004.585335648,737004.581863426,737004.578391204,737004.574918982,,,,,,,,,,,
737002.591446759,737002.587974537,737002.584502315,737002.581030093,737002.57755787,737002.574085648,737002.570613426,737002.567141204,737002.563668981,737002.560196759,737002.556724537,737002.553252315,737002.549780093,737002.54630787,737002.542835648,737002.539363426,737002.535891204,737002.532418981,737002.528946759,737002.525474537,737002.522002315,737002.518530093,737002.51505787,737002.511585648,737002.508113426,737002.504641204,737002.501168981,737002.497696759,737002.494224537,737002.490752315,,,,,,,,,,,,
736998.651481482,736998.648009259,736998.644537037,736998.641064815,736998.637592593,736998.63412037,736998.630648148,736998.627175926,736998.623703704,736998.620231482,736998.616759259,736998.613287037,736998.609814815,736998.606342593,736998.60287037,736998.599398148,736998.595925926,736998.592453704,736998.588981482,736998.585509259,736998.582037037,736998.578564815,736998.575092593,736998.57162037,736998.568148148,736998.564675926,736998.561203704,736998.557731482,736998.554259259,736998.550787037,,,,,,,,,,,,
